Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
José Esquivel,24,Defensive Midfield,Mexico,2.5,Necaxa,Liga MX Clausura,Mexico,Free,
Ben Mee,32,Centre-Back,England,2.5,Brentford,Premier League,England,Free,
Gédéon Kalulu,24,Right-Back,DR Congo,2.5,FC Lorient,Ligue 1,France,Free,
Emerson Rodríguez,22,Right Midfield,Colombia,2.5,Santos Laguna,Liga MX Clausura,Mexico,Loan,
Jérémy Gélin,25,Centre-Back,France,2.5,Amiens SC,Ligue 2,France,Free,
Yan Valery,23,Right-Back,Tunisia,2.5,Angers SCO,Ligue 1,France,Unknown,
João Carvalho,25,Attacking Midfield,Portugal,2.5,Estoril Praia,Liga Portugal,Portugal,Loan,
Isaac Atanga,22,Right Winger,Ghana,2.5,Göztepe,1.Lig,Turkey,Loan,
Lisandro Magallán,29,Centre-Back,Argentina,2.5,Elche CF,LaLiga,Spain,Free,
Andriy Yarmolenko,32,Right Winger,Ukraine,2.5,Al-Ain FC,UAE Pro League,United Arab Emirates,Free,
Pere Pons,29,Defensive Midfield,Spain,2.5,AEK Larnaca,Protathlima Cyta,Cyprus,Free,
Gonzalo Escalante,29,Central Midfield,Argentina,2.5,Cremonese,Serie A,Italy,Loan,
Gabriel Silva,20,Right Winger,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,Loan,
Matheus Babi,25,Centre-Forward,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,Loan,
Filip Stevanovic,19,Left Winger,Serbia,2.5,Santa Clara,Liga Portugal,Portugal,Loan,
Marcelo,34,Left-Back,Brazil,2.5,Fluminense,Série A,Brazil,Free,
Raúl Moro,20,Left Winger,Spain,2.5,Real Oviedo,LaLiga2,Spain,Loan,
Achraf Bencharki,27,Left Winger,Morocco,2.5,Al-Jazira,UAE Pro League,United Arab Emirates,Free,
Roger Martí,32,Centre-Forward,Spain,2.5,Cádiz CF,LaLiga,Spain,Unknown,
Sergi Guardiola,31,Centre-Forward,Spain,2.5,Cádiz CF,LaLiga,Spain,Loan,
Alfie Mawson,28,Centre-Back,England,2.5,Wycombe,League One,England,Free,
Marley Aké,22,Left Winger,France,2.5,Dijon,Ligue 2,France,Loan,
Ryan Woods,28,Defensive Midfield,England,2.5,Hull City,Championship,England,Unknown,
Michael Ngadeu,32,Centre-Back,Cameroon,2.5,BJ Guoan,Super League,China,Free,
Souza,34,Defensive Midfield,Brazil,2.5,BJ Guoan,Super League,China,Free,
Martín Aguirregabiria,26,Right-Back,Spain,2.5,Famalicão,Liga Portugal,Portugal,Free,
Santiago Colombatto,25,Defensive Midfield,Argentina,2.5,Famalicão,Liga Portugal,Portugal,Loan,
Mathias Pereira Lage,25,Right Midfield,France,2.5,Stade Brestois,Ligue 1,France,Free,
Javier Eduardo López,27,Attacking Midfield,Mexico,2.5,Pachuca,Liga MX Clausura,Mexico,Unknown,
Adel Taarabt,33,Central Midfield,Morocco,2.5,Al-Nasr SC,UAE Pro League,United Arab Emirates,Free,
Alessandro Schöpf,28,Right Midfield,Austria,2.5,Vancouver,MLS,Canada,Free,
Magomed Ozdoev,29,Central Midfield,Russia,2.5,Karagümrük,Süper Lig,Turkey,Free,
Diego Lainez,22,Right Winger,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,Loan,
Vladimir Loroña,23,Right-Back,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,Unknown,
Joe Lolley,29,Right Winger,England,2.5,Sydney FC,A-League Men,Australia,Free,
Idekel Domínguez,22,Right-Back,Mexico,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,
Edison Flores,28,Left Winger,Peru,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,
Mauro Manotas,26,Centre-Forward,Colombia,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,
Chase Gasper,27,Left-Back,United States,2.5,Houston,MLS,United States,Free,
Mariusz Stepinski,27,Centre-Forward,Poland,2.5,Aris Limassol,Protathlima Cyta,Cyprus,Loan,
Richie Laryea,27,Right-Back,Canada,2.5,Toronto,MLS,Canada,Loan,
Mamadou Mbacke,19,Centre-Back,Senegal,2.5,Villarreal CF B,LaLiga2,Spain,Loan,
Toni Villa,27,Left Winger,Spain,2.5,Girona,LaLiga,Spain,Free,
Nico Serrano,19,Left Winger,Spain,2.5,CD Mirandés,LaLiga2,Spain,Loan,
Darlan,24,Defensive Midfield,Brazil,2.5,Chapecoense,Série B,Brazil,Loan,
Álvaro González,32,Centre-Back,Spain,2.5,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Free,
Sebastián Lomónaco,24,Centre-Forward,Argentina,2.5,La Calera,Primera División,Chile,Free,
Valon Berisha,29,Central Midfield,Kosovo,2.5,Melbourne City,A-League Men,Australia,Loan,
Deyverson,31,Centre-Forward,Brazil,2.5,Cuiabá-MT,Série A,Brazil,Free,
Morgan Schneiderlin,33,Defensive Midfield,France,2.5,Western Sydney,A-League Men,Australia,Loan,
Daniel Bessa,29,Central Midfield,Italy,2.5,Ittihad Kalba,UAE Pro League,United Arab Emirates,Free,
Aké Loba,24,Centre-Forward,Cote d'Ivoire,2.5,Mazatlán FC,Liga MX Clausura,Mexico,Loan,
Jorge Meré,25,Centre-Back,Spain,2.5,Mazatlán FC,Liga MX Clausura,Mexico,Loan,
Juan José Perea,22,Centre-Forward,Colombia,1.2,VfB Stuttgart,Bundesliga,Germany,Permanent,2.4
Arthur Chaves,21,Centre-Back,Brazil,0.5,Académico Viseu,Liga Sabseg,Portugal,Permanent,2.4
Ernesto Torregrossa,30,Centre-Forward,Venezuela,2.4,Pisa,Serie B,Italy,Permanent,1.8
Matías Cóccaro,24,Centre-Forward,Uruguay,2.4,Huracán,Liga Profesional,Argentina,Permanent,4.65
Luca Mazzitelli,26,Defensive Midfield,Italy,2.4,Frosinone,Serie B,Italy,Loan,
Antonino La Gumina,26,Centre-Forward,Italy,2.4,Benevento,Serie B,Italy,Loan,
Georgios Koutsias,19,Centre-Forward,Greece,1.2,Chicago,MLS,United States,Permanent,2.36
Pedro Pereira,24,Right-Back,Portugal,2.3,Monza,Serie A,Italy,Permanent,2.87
Daniel Ballard,22,Centre-Back,Northern Ireland,2.0,Sunderland,Championship,England,Permanent,2.3
Josh Bowler,23,Right Winger,England,2.0,Nottm Forest,Premier League,England,Permanent,2.3
Julien Le Cardinal,25,Right-Back,France,1.0,Lens,Ligue 1,France,Permanent,2.3
Mees de Wit,24,Left-Back,Netherlands,1.5,AZ Alkmaar,Eredivisie,Netherlands,Permanent,2.3
Gabriel Rojas,25,Left-Back,Argentina,1.2,Racing Club,Copa de la Liga,Argentina,Permanent,2.3
Eden Karzev,22,Defensive Midfield,Israel,2.0,Basaksehir,Süper Lig,Turkey,Permanent,2.3
Henry Mosquera,21,Left Winger,Colombia,4.0,RB Bragantino,Série A,Brazil,Permanent,2.3
David Nemeth,21,Centre-Back,Austria,2.3,FC St. Pauli,2. Bundesliga,Germany,Permanent,1.3
Andi Zeqiri,23,Centre-Forward,Switzerland,2.3,FC Basel,Super League,Switzerland,Loan,
Danny da Costa,28,Right-Back,Germany,2.3,1.FSV Mainz 05,Bundesliga,Germany,Free,
Ángel Romero,30,Left Winger,Paraguay,2.3,Corinthians,Série A,Brazil,Free,
Benjamin Tetteh,25,Centre-Forward,Ghana,2.3,Hull City,Championship,England,Free,
Mehrdad Mohammadi,28,Right Winger,Iran,2.3,Al-Sailiya SC,Stars League,Qatar,Unknown,
Ángel González,28,Right Winger,Argentina,2.3,LDU Quito,Serie A Segunda Etapa,Ecuador,Unknown,
Günay Güvenc,31,Goalkeeper,Turkey,2.3,Kasimpasa,Süper Lig,Turkey,Loan,
Jure Balkovec,27,Left-Back,Slovenia,2.3,Alanyaspor,Süper Lig,Turkey,Free,
Pedro Pereira,24,Right-Back,Portugal,2.3,Alanyaspor,Süper Lig,Turkey,Loan,
Javier Salas,28,Defensive Midfield,Mexico,2.3,FC Juárez,Liga MX Clausura,Mexico,Unknown,
Wilfried Kanga,24,Centre-Forward,Cote d'Ivoire,2.2,Hertha BSC,Bundesliga,Germany,Permanent,5.0
Tolu Arokodare,22,Centre-Forward,Nigeria,2.2,Amiens SC,Ligue 2,France,Permanent,2.5
Gastón Brugman,29,Defensive Midfield,Uruguay,2.0,Los Angeles,MLS,United States,Permanent,2.2
Ousmane Camara,19,Centre-Back,France,2.0,Angers SCO,Ligue 1,France,Permanent,2.2
Pieros Sotiriou,29,Centre-Forward,Cyprus,2.2,Sanf. Hiroshima,J1 League,Japan,Permanent,2.0
Léo Duarte,25,Centre-Back,Brazil,2.2,Basaksehir,Süper Lig,Turkey,Permanent,2.0
Erik,28,Right Winger,Brazil,2.2,Machida Zelvia,J2 League,Japan,Permanent,1.86
Sebastian Polter,31,Centre-Forward,Germany,2.2,FC Schalke 04,Bundesliga,Germany,Permanent,1.5
Bryan Linssen,31,Centre-Forward,Netherlands,2.2,Urawa Reds,J1 League,Japan,Permanent,1.3
Jean-Luc Dompé,27,Left Winger,France,2.2,Hamburger SV,2. Bundesliga,Germany,Permanent,1.1
Lorenzo Pirola,20,Centre-Back,Italy,2.2,Salernitana,Serie A,Italy,Loan,
Florian Niederlechner,32,Centre-Forward,Germany,2.2,Hertha BSC,Bundesliga,Germany,Permanent,8.0
Samuel Bastien,25,Central Midfield,DR Congo,2.2,Burnley,Championship,England,Permanent,8.0
Rafael Pérez,33,Centre-Back,Colombia,2.2,San Lorenzo,Copa de la Liga,Argentina,Permanent,6.44
Kristijan Bistrovic,24,Central Midfield,Croatia,2.2,Lecce,Serie A,Italy,Loan,
Alexander Jeremejeff,29,Centre-Forward,Sweden,2.2,Panathinaikos,Super League 1,Greece,Permanent,2.7
Facundo Altamirano,26,Goalkeeper,Argentina,2.2,San Lorenzo,Copa de la Liga,Argentina,Loan,
Alex Vigo,23,Right-Back,Argentina,2.2,Red Star,Super liga Srbije,Serbia,Loan,
Paul Seguin,27,Central Midfield,Germany,2.2,Union Berlin,Bundesliga,Germany,Free,
Milos Pantovic,25,Attacking Midfield,Serbia,2.2,Union Berlin,Bundesliga,Germany,Free,
Josep Martínez,24,Goalkeeper,Spain,2.2,Genoa,Serie B,Italy,Loan,
Yassine Benrahou,24,Attacking Midfield,Morocco,2.2,Hajduk Split,SuperSport HNL,Croatia,Free,
Leo Stulac,27,Defensive Midfield,Slovenia,2.2,Palermo,Serie B,Italy,Loan,
Landry Dimata,24,Centre-Forward,Belgium,2.2,NEC Nijmegen,Eredivisie,Netherlands,Loan,
Kjell Scherpen,22,Goalkeeper,Netherlands,2.2,Vitesse,Eredivisie,Netherlands,Loan,
Josh Laurent,27,Central Midfield,England,2.2,Stoke City,Championship,England,Free,
Niels Nkounkou,21,Left-Back,France,2.2,Cardiff,Championship,Wales,Loan,
Marlon,25,Left-Back,Brazil,2.2,Cruzeiro,Série A,Brazil,Free,
André Ayew,33,Left Winger,Ghana,2.2,Nottm Forest,Premier League,England,Free,
Koni De Winter,20,Centre-Back,Belgium,2.2,FC Empoli,Serie A,Italy,Loan,
Paulo Victor,21,Left-Back,Brazil,2.2,Vasco da Gama,Série B,Brazil,Loan,
Charalampos Lykogiannis,28,Left-Back,Greece,2.2,Bologna,Serie A,Italy,Free,
Abdul-Rahman Baba,28,Left-Back,Ghana,2.2,Reading,Championship,England,Loan,
Damián Batallini,26,Right Winger,Argentina,2.2,Necaxa,Liga MX Clausura,Mexico,Loan,
Domingos Quina,22,Central Midfield,Portugal,2.2,Elche CF,LaLiga,Spain,Loan,
Alexander Jeremejeff,29,Centre-Forward,Sweden,2.2,APO Levadiakos,Super League 1,Greece,Loan,
Fredrik Gulbrandsen,29,Centre-Forward,Norway,2.2,Adana Demirspor,Süper Lig,Turkey,Free,
Ishak Belfodil,30,Centre-Forward,Algeria,2.2,Al-Gharafa SC,Stars League,Qatar,Free,
Borja Sainz,21,Left Winger,Spain,2.2,Giresunspor,Süper Lig,Turkey,Unknown,
Pietro Beruatto,23,Left-Back,Italy,2.0,Pisa,Serie B,Italy,Permanent,2.1
Sergio Córdova,25,Centre-Forward,Venezuela,1.2,Vancouver,MLS,Canada,Permanent,2.1
Ibrahim Aliyu,21,Centre-Forward,Nigeria,1.3,Houston,MLS,United States,Permanent,2.1
Sofian Kiyine,24,Left Midfield,Morocco,2.1,OH Leuven,Jupiler Pro League,Belgium,Permanent,1.6
Jerónimo Cacciabue,24,Central Midfield,Argentina,2.1,Miedz Legnica,Ekstraklasa,Poland,Loan,
Jens Odgaard,23,Right Winger,Denmark,2.0,AZ Alkmaar,Eredivisie,Netherlands,Permanent,3.59
Emil Konradsen Ceide,20,Left Winger,Norway,2.0,Sassuolo,Serie A,Italy,Permanent,2.85
Enrico Del Prato,22,Right-Back,Italy,2.0,Parma,Serie B,Italy,Permanent,2.75
Gabriel Florentín,23,Attacking Midfield,Argentina,2.0,Orenburg,Premier Liga,Russia,Permanent,2.2
Gustavo Puerta,19,Central Midfield,Colombia,3.5,B. Leverkusen,Bundesliga,Germany,Permanent,2.0
Oscar Fraulo,18,Central Midfield,Denmark,3.5,Bor. M'gladbach,Bundesliga,Germany,Permanent,2.0
Emre Mor,24,Right Winger,Turkey,1.7,Fenerbahce,Süper Lig,Turkey,Permanent,2.0
Delano Burgzorg,23,Left Winger,Netherlands,2.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,2.0
Alexi Pitu,20,Left Winger,Romania,1.4,G. Bordeaux,Ligue 2,France,Permanent,2.0
Jessic Ngankam,21,Centre-Forward,Germany,2.0,Hertha BSC,Bundesliga,Germany,Permanent,2.0
Emrecan Uzunhan,21,Centre-Back,Turkey,5.25,Besiktas,Süper Lig,Turkey,Permanent,2.0
Tomás Tavares,21,Right-Back,Portugal,2.0,Spartak Moscow,Premier Liga,Russia,Permanent,2.0
Mateusz Praszelik,22,Attacking Midfield,Poland,1.2,Hellas Verona,Serie A,Italy,Permanent,2.0
Michel Vlap,25,Attacking Midfield,Netherlands,2.0,Twente FC,Eredivisie,Netherlands,Permanent,2.0
Mikael,23,Centre-Forward,Brazil,2.0,Salernitana,Serie A,Italy,Permanent,2.0
Leonardo Buta,20,Left-Back,Portugal,4.5,Udinese Calcio,Serie A,Italy,Permanent,2.0
Zakaria Aboukhlal,22,Right Winger,Morocco,2.0,Toulouse,Ligue 1,France,Permanent,2.0
Marcin Bulka,22,Goalkeeper,Poland,2.0,OGC Nice,Ligue 1,France,Permanent,2.0
Diego Hernández,22,Left Winger,Uruguay,2.0,Botafogo,Série A,Brazil,Permanent,2.0
Boubacar Traoré,21,Defensive Midfield,Mali,1.8,Wolves,Premier League,England,Loan,
Oleksandr Zubkov,26,Right Winger,Ukraine,1.8,Shakhtar D.,Premier Liga,Ukraine,Permanent,2.0
Doron Leidner,20,Left-Back,Israel,1.2,Olympiacos,Super League 1,Greece,Permanent,2.0
Nuraly Alip,23,Centre-Back,Kazakhstan,1.2,Zenit S-Pb,Premier Liga,Russia,Permanent,2.0
Daniel Samek,18,Defensive Midfield,Czech Republic,2.0,Lecce,Serie A,Italy,Permanent,2.0
Lameck Banda,21,Left Winger,Zambia,3.0,Lecce,Serie A,Italy,Permanent,2.0
Carlton Morris,26,Centre-Forward,England,1.0,Luton,Championship,England,Permanent,2.0
Veton Berisha,28,Centre-Forward,Norway,1.3,Hammarby,Allsvenskan,Sweden,Permanent,2.0
Alexsandro,22,Centre-Back,Brazil,8.0,LOSC Lille,Ligue 1,France,Permanent,2.0
Dominik Kotarski,22,Goalkeeper,Croatia,1.5,PAOK Salonika,Super League 1,Greece,Permanent,2.0
Anouar Ait El Hadj,20,Attacking Midfield,Belgium,2.0,KRC Genk,Jupiler Pro League,Belgium,Permanent,2.0
Amir Richardson,20,Central Midfield,Morocco,1.3,Stade Reims,Ligue 1,France,Permanent,2.0
Vlad Chiriches,32,Centre-Back,Romania,1.8,Cremonese,Serie A,Italy,Permanent,2.0
Giacomo Quagliata,22,Left-Back,Italy,8.0,Cremonese,Serie A,Italy,Permanent,2.0
Willyan Rocha,27,Centre-Back,Brazil,1.5,CSKA Moscow,Premier Liga,Russia,Permanent,2.0
Emre Demir,18,Attacking Midfield,Turkey,1.8,Barça Atlètic,Primera Federación - Gr. II,Spain,Permanent,2.0
Victor Boniface,21,Centre-Forward,Nigeria,7.0,Union SG,Jupiler Pro League,Belgium,Permanent,2.0
Stefano Moreo,29,Centre-Forward,Italy,1.0,Pisa,Serie B,Italy,Permanent,2.0
Riccardo Ciervo,20,Left Winger,Italy,1.5,Sassuolo,Serie A,Italy,Permanent,2.0
Ahmed Touba,24,Centre-Back,Algeria,1.0,Basaksehir,Süper Lig,Turkey,Permanent,2.0
Roggerio Nyakossi,18,Centre-Back,Switzerland,1.0,Marseille B,N3 - Corse-Méditer.,France,Permanent,2.0
Douglas Mendes,18,Centre-Back,Brazil,2.0,RB Bragantino,Série A,Brazil,Permanent,2.0
Diego Rosa,20,Central Midfield,Brazil,7.0,EC Bahia,Série A,Brazil,Permanent,2.0
Tommaso Mancini,18,Centre-Forward,Italy,5.0,Juventus U19,Primavera 1,Italy,Permanent,2.0
Kady Borges,26,Attacking Midfield,Brazil,1.2,Krasnodar,Premier Liga,Russia,Permanent,2.0
Facundo Waller,25,Left Midfield,Uruguay,1.8,San Luis,Liga MX Clausura,Mexico,Permanent,2.0
Joao Rojas,24,Left Winger,Ecuador,2.0,Monterrey,Liga MX Clausura,Mexico,Permanent,1.9
Brian Ocampo,23,Left Winger,Uruguay,2.0,Cádiz CF,LaLiga,Spain,Permanent,1.9
Cedric Itten,25,Centre-Forward,Switzerland,2.0,BSC Young Boys,Super League,Switzerland,Permanent,1.82
José Luis Rodríguez,25,Right-Back,Uruguay,2.0,Vasco da Gama,Série A,Brazil,Permanent,1.8
Rayan Raveloson,25,Defensive Midfield,Madagascar,2.0,AJ Auxerre,Ligue 1,France,Permanent,1.75
Osame Sahraoui,21,Left Winger,Norway,2.0,Heerenveen,Eredivisie,Netherlands,Permanent,1.7
Biel,21,Left Winger,Brazil,2.0,EC Bahia,Série A,Brazil,Permanent,1.6
Jessic Ngankam,21,Centre-Forward,Germany,2.0,Greuther Fürth,2. Bundesliga,Germany,Permanent,1.5
Khaled Narey,27,Right Winger,Germany,2.0,PAOK Salonika,Super League 1,Greece,Permanent,1.5
Andreas Bruus,23,Right-Back,Denmark,2.0,Troyes,Ligue 1,France,Permanent,1.5
Lucas Vera,25,Central Midfield,Argentina,2.0,Orenburg,Premier Liga,Russia,Permanent,1.5
Moustapha Name,27,Central Midfield,Senegal,2.0,Pafos FC,Protathlima Cyta,Cyprus,Permanent,1.5
Ohi Omoijuanfo,28,Centre-Forward,Norway,2.0,Bröndby IF,Superligaen,Denmark,Permanent,1.35
Ramiro Carrera,29,Right Midfield,Argentina,2.0,CD Cruz Azul,Liga MX Clausura,Mexico,Permanent,1.3
Andrés Andrade,23,Centre-Back,Panama,2.0,Arm. Bielefeld,2. Bundesliga,Germany,Permanent,1.25
Oscar Vilhelmsson,18,Centre-Forward,Sweden,2.0,Darmstadt 98,2. Bundesliga,Germany,Permanent,1.2
Dogucan Haspolat,22,Defensive Midfield,Turkey,2.0,Trabzonspor,Süper Lig,Turkey,Permanent,1.2
Matías Segovia,20,Attacking Midfield,Paraguay,2.0,Botafogo,Série A,Brazil,Permanent,1.2
Krzysztof Kubica,22,Central Midfield,Poland,2.0,Benevento,Serie B,Italy,Permanent,1.2
João Lucas,24,Right-Back,Brazil,2.0,Santos,Série A,Brazil,Permanent,1.1
Srdjan Babic,26,Centre-Back,Serbia,2.0,UD Almería,LaLiga,Spain,Permanent,1.1
Dan Barlaser,26,Central Midfield,England,2.0,Middlesbrough,Championship,England,Permanent,1.03
Gil Dias,26,Right Winger,Portugal,2.0,VfB Stuttgart,Bundesliga,Germany,Permanent,1.0
Genki Haraguchi,31,Attacking Midfield,Japan,2.0,VfB Stuttgart,Bundesliga,Germany,Permanent,1.0
Amer Gojak,25,Attacking Midfield,Bosnia-Herzegovina,2.0,Ferencváros,NB I.,Hungary,Permanent,1.0
Francesco Di Mariano,26,Left Winger,Italy,2.0,Palermo,Serie B,Italy,Permanent,1.0
Pipa,24,Right-Back,Spain,2.0,Olympiacos,Super League 1,Greece,Permanent,1.0
Bruno Gomes,21,Central Midfield,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,1.0
Lucas Pérez,34,Centre-Forward,Spain,2.0,Dep. La Coruña,Primera Federación - Gr. I,Spain,Permanent,1.0
Zidan Sertdemir,17,Central Midfield,Denmark,2.0,Nordsjaelland,Superligaen,Denmark,Permanent,1.0
Milan Pavkov,28,Centre-Forward,Serbia,2.0,Al-Fayha,Saudi Pro League,Saudi Arabia,Permanent,1.0
Yanis Hamache,23,Left-Back,Algeria,2.0,SK Dnipro-1,Premier Liga,Ukraine,Permanent,1.0
Eduard Löwen,25,Central Midfield,Germany,2.0,St. Louis CITY,United States,United States,Permanent,1.0
Sergio Santos,27,Centre-Forward,Brazil,2.0,Cincinnati,MLS,United States,Permanent,8.41
András Németh,20,Centre-Forward,Hungary,2.0,Hamburger SV,2. Bundesliga,Germany,Permanent,7.5
Tommaso Milanese,19,Central Midfield,Italy,2.0,Cremonese,Serie A,Italy,Permanent,7.5
Renato Steffen,30,Right Winger,Switzerland,2.0,FC Lugano,Super League,Switzerland,Permanent,7.5
Fernando Sobral,28,Central Midfield,Brazil,2.0,Cuiabá-MT,Série A,Brazil,Permanent,7.5
William Mikelbrencis,18,Right-Back,France,2.0,Hamburger SV,2. Bundesliga,Germany,Permanent,7.0
Hamidou Traore,25,Defensive Midfield,Mali,2.0,Partizan,Super liga Srbije,Serbia,Permanent,7.0
Jean Evrard Kouassi,27,Left Winger,Cote d'Ivoire,2.0,Karagümrük,Süper Lig,Turkey,Loan,
Adam Gnezda Cerin,22,Central Midfield,Slovenia,2.0,Panathinaikos,Super League 1,Greece,Permanent,6.5
Andreas Maxsö,28,Centre-Back,Denmark,2.0,Colorado,MLS,United States,Permanent,6.5
Kanya Fujimoto,23,Attacking Midfield,Japan,2.0,Gil Vicente,Liga Portugal,Portugal,Permanent,6.0
Isidro Pitta,23,Centre-Forward,Paraguay,2.0,Cuiabá-MT,Série A,Brazil,Permanent,6.0
Irfan Can Egribayat,24,Goalkeeper,Turkey,2.0,Fenerbahce,Süper Lig,Turkey,Loan,
László Kleinheisler,28,Attacking Midfield,Hungary,2.0,Panathinaikos,Super League 1,Greece,Permanent,5.0
Nicolò Cambiaghi,21,Left Winger,Italy,2.0,FC Empoli,Serie A,Italy,Loan,
Rodrigo Pinho,31,Centre-Forward,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,5.0
Federico Di Francesco,28,Left Winger,Italy,2.0,Lecce,Serie A,Italy,Permanent,5.0
Samuel Umtiti,28,Centre-Back,France,2.0,Lecce,Serie A,Italy,Loan,
Cenk Özkacar,21,Centre-Back,Turkey,2.0,Valencia,LaLiga,Spain,Loan,
Silvije Begic,29,Centre-Back,Croatia,2.0,Ural,Premier Liga,Russia,Permanent,5.0
Mailson,25,Goalkeeper,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,Permanent,5.0
Aarón Herrera,25,Right-Back,Guatemala,2.0,Montréal,MLS,Canada,Permanent,4.71
Joaquín Torres,25,Right Winger,Argentina,2.0,Philadelphia,MLS,United States,Permanent,4.6
Carlitos,32,Centre-Forward,Spain,2.0,Legia Warszawa,Ekstraklasa,Poland,Permanent,4.0
Alef Manga,28,Left Winger,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,4.0
Marrony,23,Right Winger,Brazil,2.0,Fluminense,Série A,Brazil,Loan,
Héber,31,Centre-Forward,Brazil,2.0,Seattle,MLS,United States,Permanent,3.75
Cristian Dájome,29,Left Winger,Colombia,2.0,D.C. United,MLS,United States,Permanent,3.18
Anthony Kalik,24,Attacking Midfield,Australia,2.0,Hajduk Split,SuperSport HNL,Croatia,Permanent,3.0
Isaac Atanga,22,Right Winger,Ghana,2.0,Aalesund,Eliteserien,Norway,Permanent,3.0
Jacob Shaffelburg,22,Left Winger,Canada,2.0,Nashville,MLS,United States,Permanent,3.0
Jacob Shaffelburg,22,Left Winger,Canada,2.0,Nashville,MLS,United States,Loan,
Sebastien Thill,28,Central Midfield,Luxembourg,2.0,Hansa Rostock,2. Bundesliga,Germany,Permanent,2.0
David,27,Left Winger,Brazil,2.0,São Paulo,Série A,Brazil,Loan,
Jorman Campuzano,26,Defensive Midfield,Colombia,2.0,Giresunspor,Süper Lig,Turkey,Loan,
Flávio,26,Central Midfield,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,Loan,
Paul Nardi,28,Goalkeeper,France,2.0,KAA Gent,Jupiler Pro League,Belgium,Permanent,1.5
Darijan Bojanic,28,Central Midfield,Sweden,2.0,Ulsan Hyundai,K League 1,"Korea, South",Permanent,1.0
Matous Trmal,23,Goalkeeper,Czech Republic,2.0,Marítimo,Liga Portugal,Portugal,Loan,
Florian Flick,22,Defensive Midfield,Germany,2.0,1.FC Nuremberg,2. Bundesliga,Germany,Loan,
Mateo Klimowicz,22,Attacking Midfield,Germany,2.0,Arm. Bielefeld,2. Bundesliga,Germany,Loan,
Mile Svilar,22,Goalkeeper,Serbia,2.0,AS Roma,Serie A,Italy,Free,
Pablo Rodríguez,21,Second Striker,Spain,2.0,Brescia,Serie B,Italy,Loan,
Zeki Amdouni,21,Centre-Forward,Switzerland,2.0,FC Basel,Super League,Switzerland,Loan,
Zuriko Davitashvili,21,Right Winger,Georgia,2.0,G. Bordeaux,Ligue 2,France,Loan,
Jan Vertonghen,35,Centre-Back,Belgium,2.0,RSC Anderlecht,Jupiler Pro League,Belgium,Free,
Pierre Kunde,27,Central Midfield,Cameroon,2.0,VfL Bochum,Bundesliga,Germany,Loan,
Philipp Hofmann,29,Centre-Forward,Germany,2.0,VfL Bochum,Bundesliga,Germany,Free,
Cenk Tosun,31,Centre-Forward,Turkey,2.0,Besiktas,Süper Lig,Turkey,Free,
Eli Dasa,29,Right-Back,Israel,2.0,Dynamo Moscow,Premier Liga,Russia,Free,
Luca Zanimacchia,24,Right Winger,Italy,2.0,Parma,Serie B,Italy,Loan,
Sam Adekugbe,28,Left-Back,Canada,2.0,Galatasaray,Süper Lig,Turkey,Loan,
Fraser Forster,34,Goalkeeper,England,2.0,Tottenham,Premier League,England,Free,
Jakub Swierczok,30,Centre-Forward,Poland,2.0,Zaglebie Lubin,Ekstraklasa,Poland,Unknown,
Denso Kasius,20,Right-Back,Netherlands,2.0,Rapid Vienna,Bundesliga,Austria,Loan,
Salomón Rondón,33,Centre-Forward,Venezuela,2.0,River Plate,Copa de la Liga,Argentina,Free,
Luan,29,Attacking Midfield,Brazil,2.0,Santos,Série A,Brazil,Loan,
Mateusz Zukowski,20,Right-Back,Poland,2.0,Lech Poznan,Ekstraklasa,Poland,Loan,
Denis Dragus,23,Centre-Forward,Romania,2.0,Genoa,Serie B,Italy,Loan,
Ole Selnaes,27,Defensive Midfield,Norway,2.0,FC Zürich,Super League,Switzerland,Free,
Viktor Fischer,28,Left Winger,Denmark,2.0,AIK,Allsvenskan,Sweden,Loan,
Francesco Vicari,27,Centre-Back,Italy,2.0,Bari,Serie B,Italy,Unknown,
Auston Trusty,23,Centre-Back,United States,2.0,Birmingham,Championship,England,Loan,
Tom Edwards,23,Right-Back,England,2.0,Barnsley FC,League One,England,Loan,
Luke Mbete,19,Centre-Back,England,2.0,Bolton,League One,England,Loan,
Salvi Sánchez,31,Right Winger,Spain,2.0,Rayo Vallecano,LaLiga,Spain,Free,
Florian Lejeune,31,Centre-Back,France,2.0,Rayo Vallecano,LaLiga,Spain,Loan,
