Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Matías Kranevitter,29,Defensive Midfield,Argentina,3.0,River Plate,Copa de la Liga,Argentina,Permanent,1.7
Gautier Larsonneur,25,Goalkeeper,France,3.0,Saint-Étienne,Ligue 2,France,Permanent,1.6
László Bénes,24,Central Midfield,Slovakia,3.0,Hamburger SV,2. Bundesliga,Germany,Permanent,1.5
Patrick,30,Central Midfield,Brazil,3.0,Atlético-MG,Série A,Brazil,Permanent,1.5
Abdul Mumin,24,Centre-Back,Ghana,3.0,Rayo Vallecano,LaLiga,Spain,Permanent,1.5
Moreto Cassamá,24,Central Midfield,Guinea-Bissau,3.0,Omonia Nikosia,Protathlima Cyta,Cyprus,Permanent,1.5
Nikolay Komlichenko,27,Centre-Forward,Russia,3.0,Rostov,Premier Liga,Russia,Permanent,1.5
Eric Martel,20,Defensive Midfield,Germany,3.0,1.FC Köln,Bundesliga,Germany,Permanent,1.2
Monchu,22,Central Midfield,Spain,3.0,Real Valladolid,LaLiga,Spain,Permanent,1.2
Petar Stojanovic,26,Right-Back,Slovenia,3.0,FC Empoli,Serie A,Italy,Permanent,1.2
Onur Bulut,28,Right-Back,Turkey,3.0,Besiktas,Süper Lig,Turkey,Permanent,1.0
Aleksandar Pesic,30,Centre-Forward,Serbia,3.0,Red Star,Super liga Srbije,Serbia,Permanent,1.0
Jasper Cillessen,33,Goalkeeper,Netherlands,3.0,NEC Nijmegen,Eredivisie,Netherlands,Permanent,1.0
Julen Lobete,21,Centre-Forward,Spain,3.0,Celta de Vigo,LaLiga,Spain,Permanent,1.0
Abdelhamid Sabiri,25,Attacking Midfield,Morocco,3.0,Sampdoria,Serie A,Italy,Permanent,1.0
Abdou Harroui,24,Central Midfield,Morocco,3.0,Sassuolo,Serie A,Italy,Permanent,1.0
James Bree,25,Right-Back,England,3.0,Southampton,Premier League,England,Permanent,8.5
Julian Gressel,28,Right Midfield,United States,3.0,Vancouver,MLS,Canada,Permanent,8.18
Ajdin Hrustic,26,Attacking Midfield,Australia,3.0,Hellas Verona,Serie A,Italy,Permanent,5.0
Mickaël Malsa,26,Defensive Midfield,Martinique,3.0,Real Valladolid,LaLiga,Spain,Permanent,5.0
William Troost-Ekong,29,Centre-Back,Nigeria,3.0,Salernitana,Serie A,Italy,Loan,
Sebastiano Luperto,25,Centre-Back,Italy,3.0,FC Empoli,Serie A,Italy,Loan,
Sam Lammers,25,Centre-Forward,Netherlands,3.0,FC Empoli,Serie A,Italy,Loan,
Rodrigo Dourado,28,Defensive Midfield,Brazil,3.0,San Luis,Liga MX Clausura,Mexico,Permanent,5.0
Julián Carranza,22,Centre-Forward,Argentina,3.0,Philadelphia,MLS,United States,Permanent,4.55
Lucas Da Cunha,21,Right Winger,France,3.0,Como,Serie B,Italy,Permanent,4.0
Abdoulaye Seck,30,Centre-Back,Senegal,3.0,Maccabi Haifa,Ligat ha'Al,Israel,Permanent,3.9
Latif Blessing,26,Attacking Midfield,Ghana,3.0,New England,MLS,United States,Permanent,3.79
Alexander Schwolow,30,Goalkeeper,Germany,3.0,FC Schalke 04,Bundesliga,Germany,Loan,
Mario González,26,Centre-Forward,Spain,3.0,OH Leuven,Jupiler Pro League,Belgium,Loan,
João Novais,29,Central Midfield,Portugal,3.0,Al-Bataeh CSC,UAE Pro League,United Arab Emirates,Permanent,2.0
Noah Mbamba,18,Defensive Midfield,Belgium,3.0,B. Leverkusen,Bundesliga,Germany,Permanent,1.0
Viktor Kovalenko,26,Attacking Midfield,Ukraine,3.0,Spezia Calcio,Serie A,Italy,Loan,
Kristian Pedersen,27,Left-Back,Denmark,3.0,1.FC Köln,Bundesliga,Germany,Free,
Jayden Braaf,19,Centre-Forward,Netherlands,3.0,B. Dortmund II,3. Liga,Germany,Free,
Aurélio Buta,25,Right-Back,Portugal,3.0,E. Frankfurt,Bundesliga,Germany,Free,
Éder Balanta,29,Defensive Midfield,Colombia,3.0,FC Schalke 04,Bundesliga,Germany,Loan,
Keven Schlotterbeck,25,Centre-Back,Germany,3.0,VfL Bochum,Bundesliga,Germany,Loan,
Jérôme Roussillon,30,Left-Back,Guadeloupe,3.0,Union Berlin,Bundesliga,Germany,Unknown,
Rares Ilie,19,Left Winger,Romania,3.0,M. Tel Aviv,Ligat ha'Al,Israel,Loan,
Tomás Alarcón,23,Defensive Midfield,Chile,3.0,Real Zaragoza,LaLiga2,Spain,Loan,
Víctor Mollejo,21,Right Winger,Spain,3.0,Real Zaragoza,LaLiga2,Spain,Loan,
Tyler Morton,19,Central Midfield,England,3.0,Blackburn,Championship,England,Loan,
Bruno Valdez,30,Centre-Back,Paraguay,3.0,Boca Juniors,Copa de la Liga,Argentina,Free,
Modibo Sagnan,23,Centre-Back,France,3.0,FC Utrecht,Eredivisie,Netherlands,Loan,
Keita Baldé,27,Centre-Forward,Senegal,3.0,Spartak Moscow,Premier Liga,Russia,Free,
